hid,pid,year1,age,edu,firmSize,workingHour,industry,job1,marriage,region,sex,wage,fullTime,firmType,sat_work1,sat_work2,sat_salary,sat_workingHour,sat_workingTotal,sat_workTotal,sat_spareTime,sat_house,sat_family,sat_social,sat_lifeTotal,sat_currentLife,sat_happiness
201558,20155801,2021,36,3,1,40,952,751,2,14,1,249,1,1,3,3,2,2,2,2,2,2,2,2,2,7,7
201558,20155802,2021,34,6,1,30,351,313,2,14,2,149,1,1,4,4,2,2,2,2,2,2,2,2,2,7,7
201575,20157501,2021,38,6,4,48,251,312,2,14,1,300,1,1,4,4,2,2,2,2,2,2,2,2,2,6,6
201578,20157804,2021,29,6,6,40,641,320,1,3,2,500,1,3,4,4,3,2,2,2,2,2,2,2,2,8,8
201579,20157903,2021,39,6,1,30,856,254,1,3,2,150,2,1,3,3,3,2,3,3,3,3,3,3,3,7,7
201594,20159403,2021,26,4,1,20,471,521,1,2,1,90,2,1,3,3,4,4,3,3,4,4,3,3,3,4,5
201594,20159404,2021,24,4,1,12,471,521,1,2,1,45,2,1,3,3,3,3,4,3,3,3,3,3,3,4,3
201610,20161001,2021,38,6,2,40,721,231,2,1,1,370,1,1,4,4,4,2,2,2,4,2,2,2,2,7,7
201614,20161402,2021,34,6,2,40,872,312,2,1,2,250,1,3,2,2,4,2,3,3,2,2,2,2,2,7,7
201626,20162603,2021,28,6,3,40,465,281,1,2,2,190,1,1,3,3,3,2,3,3,2,2,2,3,2,7,7
201627,20162703,2021,30,6,3,40,464,510,1,2,1,250,1,1,3,3,3,2,3,3,2,2,2,2,2,8,7
201627,20162704,2021,29,6,6,40,620,312,1,2,1,300,1,3,4,3,3,2,2,2,2,2,2,2,2,7,8
201636,20163603,2021,24,6,6,40,861,243,1,15,2,255,1,3,4,4,3,2,2,2,2,2,2,2,2,7,7
201672,20167203,2021,23,6,1,24,471,521,1,1,1,100,2,1,2,2,3,3,4,4,3,4,3,3,3,5,5
201672,20167204,2021,20,3,1,16,251,783,1,1,1,80,2,1,2,2,4,4,4,4,2,4,2,2,3,5,5
201722,20172203,2021,33,6,2,40,292,274,1,1,1,300,1,1,3,4,3,2,3,3,4,3,3,3,3,6,7
201726,20172601,2021,36,6,3,40,582,222,2,1,1,300,1,1,4,3,3,2,2,3,4,4,3,3,3,6,6
201726,20172602,2021,39,6,6,40,759,312,2,1,2,300,1,1,3,4,3,2,3,3,2,3,2,2,2,6,8
201729,20172901,2021,35,6,4,40,581,281,1,1,2,350,1,1,4,4,3,2,2,3,3,2,3,3,3,6,5
201736,20173602,2021,24,5,4,48,653,245,1,1,2,200,2,3,3,3,3,3,3,3,4,4,3,3,3,6,7
201741,20174101,2021,35,6,2,60,753,412,2,13,1,200,1,1,3,3,3,2,2,2,3,2,2,2,2,8,8
201741,20174102,2021,35,5,3,44,861,245,2,13,2,200,1,1,4,4,3,2,2,2,3,2,2,2,2,8,9
201773,20177301,2021,35,6,4,40,642,272,2,8,1,250,2,1,4,4,3,3,3,3,3,3,3,3,3,5,6
201780,20178002,2021,39,5,3,40,381,314,2,8,2,290,1,1,4,4,2,2,2,2,3,3,2,2,2,6,7
210091,20178903,2021,32,6,4,40,303,312,1,8,1,300,1,1,3,3,3,3,3,3,3,3,3,3,3,7,7
210092,20179102,2021,35,6,2,40,467,312,2,1,2,260,1,1,4,4,2,2,2,2,2,2,2,2,2,7,7
201814,20181401,2021,32,6,3,40,854,247,2,11,1,170,1,7,4,5,3,1,2,2,2,2,2,2,2,7,7
201839,20183901,2021,39,6,6,40,844,311,2,8,1,330,1,1,3,3,3,3,3,3,3,2,2,3,3,6,6
210169,20184904,2021,24,6,4,40,272,234,1,8,2,198,2,2,4,4,3,2,3,3,2,3,2,2,2,7,8
201853,20185304,2021,37,6,5,48,222,832,1,8,1,300,1,1,4,4,2,2,2,2,3,2,2,2,2,7,7
201861,20186101,2021,39,3,3,48,422,762,2,8,1,300,1,1,4,4,2,2,2,2,2,2,2,2,2,6,6
201907,20190701,2021,36,6,3,52,411,312,1,8,1,335,1,1,4,4,4,2,2,2,2,2,2,2,2,2,2
210093,20194903,2021,26,4,4,40,212,312,1,8,1,210,1,1,4,4,3,2,2,2,3,3,3,3,3,5,7
201952,20195201,2021,29,5,2,40,753,274,1,13,1,260,1,1,3,4,3,2,3,2,3,3,2,2,2,4,6
201988,20198801,2021,31,3,2,40,841,930,1,6,1,130,2,4,3,2,3,4,3,3,2,2,2,3,3,5,5
202013,20201301,2021,36,6,5,40,202,232,2,19,1,580,1,1,4,4,2,2,2,2,2,2,2,2,2,7,7
202028,20202803,2021,23,5,2,40,561,442,1,13,2,160,2,1,3,3,3,3,3,3,3,3,3,3,3,6,6
210172,20202903,2021,25,6,4,40,620,222,1,1,2,200,1,1,4,4,3,2,2,2,2,2,2,2,2,7,9
202032,20203203,2021,22,6,4,40,861,243,1,13,2,250,1,1,3,4,4,2,3,2,2,2,2,2,2,7,8
202036,20203603,2021,21,4,3,40,291,854,1,6,1,140,1,1,3,3,3,3,3,3,3,2,2,3,2,8,8
202069,20206903,2021,25,4,1,40,411,910,1,6,1,400,2,1,4,4,2,2,2,2,2,3,1,2,2,5,6
202081,20208101,2021,38,3,3,40,264,864,2,5,1,200,1,1,3,3,3,3,3,3,3,3,3,3,3,5,5
202124,20212401,2021,39,6,2,45,107,312,2,1,1,350,1,1,3,3,2,3,3,3,3,3,3,3,3,4,5
210173,20215403,2021,30,6,6,40,612,399,2,10,2,220,2,3,3,4,4,4,3,3,2,3,2,2,2,8,7
202154,20215404,2021,29,4,6,40,262,863,1,10,1,300,1,1,4,3,3,3,2,2,2,2,3,2,3,6,4
202156,20215603,2021,31,6,3,40,272,854,1,10,1,280,1,1,4,3,2,2,2,2,3,2,2,2,2,6,5
202183,20218301,2021,32,6,6,40,351,312,2,6,1,350,1,1,4,4,2,2,2,2,2,2,2,2,2,7,8
210174,20218302,2021,29,6,5,40,303,854,2,13,1,250,1,4,4,4,3,2,2,2,2,2,2,2,2,7,7
202183,20218303,2021,33,6,6,40,651,320,2,6,2,200,1,1,4,4,2,2,2,2,2,2,2,2,2,6,7
202216,20221604,2021,39,3,2,40,222,832,3,14,1,200,1,1,3,3,3,3,3,3,3,3,3,3,3,3,7
202225,20222503,2021,27,6,6,40,863,243,1,14,2,170,1,3,3,3,3,3,3,3,3,3,3,3,3,4,8
202227,20222703,2021,39,6,6,40,641,320,1,14,1,180,1,3,3,3,3,3,3,3,3,3,3,3,3,4,7
202231,20223102,2021,39,3,2,40,259,851,2,14,1,200,1,1,3,3,3,3,3,3,3,2,2,2,3,4,8
202253,20225301,2021,39,6,3,40,292,239,2,3,1,480,1,1,4,4,3,2,2,2,3,2,2,2,2,7,7
202264,20226404,2021,25,6,2,40,562,442,1,1,2,250,1,1,2,2,2,2,2,2,3,3,2,3,2,5,5
202267,20226701,2021,37,3,3,40,203,312,2,1,1,280,1,1,3,3,3,3,3,3,3,3,2,2,2,7,7
202280,20228003,2021,39,3,6,40,641,320,1,8,2,480,1,1,4,3,4,3,2,2,2,3,2,2,2,7,8
202310,20231001,2021,35,4,1,50,561,442,2,9,1,400,1,1,3,3,3,3,3,3,3,3,3,3,3,6,6
202327,20232701,2021,36,5,1,30,949,312,1,8,2,80,2,1,4,3,3,4,3,3,2,2,2,2,2,6,6
202330,20233003,2021,30,6,2,40,204,232,1,8,1,250,1,1,2,3,3,3,3,3,2,3,3,3,3,6,7
202338,20233802,2021,20,3,1,50,561,441,1,8,1,270,2,1,4,4,2,4,3,3,3,4,3,3,4,4,4
202339,20233901,2021,39,3,2,40,262,863,1,8,1,250,1,1,3,4,3,2,3,3,4,3,2,3,3,6,7
202347,20234702,2021,29,6,2,40,471,312,1,8,2,210,1,1,2,2,3,3,3,3,2,3,2,3,2,7,7
202347,20234703,2021,26,6,6,40,861,243,1,8,1,300,1,1,2,3,4,3,3,3,4,3,2,3,3,5,5
202356,20235602,2021,36,6,3,40,852,252,2,1,2,290,1,1,4,4,3,2,2,2,2,2,2,2,2,9,9
202364,20236401,2021,38,6,6,40,641,320,2,1,1,650,1,1,4,4,2,2,2,3,2,2,2,3,3,8,7
202368,20236801,2021,38,6,5,40,842,254,2,1,1,280,1,1,4,3,2,3,3,3,3,2,3,3,3,8,8
202370,20237001,2021,37,3,3,47,107,441,2,1,1,300,1,1,3,3,3,3,3,3,3,3,3,3,2,9,9
202371,20237101,2021,38,6,4,52,265,312,2,1,1,300,1,1,4,5,2,3,2,2,3,3,1,2,2,7,7
202388,20238803,2021,26,5,2,40,862,246,1,8,2,200,1,1,3,3,3,2,3,3,3,2,2,3,3,4,5
202388,20238804,2021,25,5,2,40,862,246,1,8,2,200,1,1,3,3,3,3,3,3,3,3,2,3,3,4,5
202404,20240401,2021,31,6,6,40,620,222,1,1,2,330,1,1,4,4,2,1,2,2,2,2,1,2,2,9,9
202409,20240901,2021,33,6,2,40,631,274,1,1,1,450,1,1,3,3,3,3,3,3,3,3,3,3,3,7,7
202411,20241101,2021,35,6,6,40,261,312,1,1,2,420,1,1,2,2,4,3,3,3,3,3,2,3,3,5,5
202413,20241301,2021,33,6,2,40,852,282,1,1,2,230,1,1,4,4,3,3,2,3,3,3,2,3,3,7,7
202419,20241903,2021,34,6,6,40,732,285,1,1,2,300,1,1,3,2,3,3,3,3,3,2,2,2,2,6,7
202421,20242103,2021,32,6,1,48,869,245,1,1,2,200,1,1,3,2,3,3,3,3,4,3,3,3,3,5,6
202421,20242104,2021,29,6,3,40,721,231,1,1,1,180,1,1,2,3,4,3,3,3,2,3,3,3,3,5,6
202432,20243203,2021,37,6,6,48,582,222,1,8,1,450,1,1,4,4,3,3,3,3,3,3,3,3,3,5,5
202433,20243303,2021,39,6,3,40,620,222,1,8,1,360,1,1,3,4,2,2,2,2,3,3,3,3,3,5,5
202433,20243304,2021,34,6,3,40,620,761,1,8,1,270,1,1,3,3,2,2,2,2,3,3,3,3,3,5,5
202478,20247804,2021,38,3,6,40,213,312,1,9,1,240,1,1,4,4,3,2,2,2,2,2,2,2,2,7,8
210178,20247904,2021,30,6,4,40,222,312,2,9,2,220,1,1,4,4,3,2,2,2,2,2,2,2,2,7,8
210179,20253202,2021,30,6,2,40,732,285,2,8,2,220,1,1,4,4,3,3,2,2,2,2,2,2,2,7,7
202558,20255801,2021,26,4,1,48,521,921,1,6,1,250,2,1,4,3,3,3,3,3,3,3,3,3,3,6,6
202574,20257403,2021,30,4,6,40,475,922,1,8,1,300,1,1,3,3,3,3,3,3,2,2,2,2,2,7,7
202574,20257404,2021,29,6,2,40,422,792,1,8,1,300,1,1,3,3,3,3,3,3,2,2,2,2,2,7,7
202575,20257501,2021,38,6,5,40,303,235,2,1,1,500,1,1,3,3,3,3,3,3,3,2,2,2,3,6,6
202587,20258704,2021,26,5,6,40,529,312,1,5,1,239,1,1,3,3,3,3,3,3,3,3,3,3,3,5,5
202588,20258802,2021,39,5,1,12,474,521,2,5,2,70,2,1,3,3,3,2,3,3,3,3,3,3,3,5,5
202589,20258901,2021,38,5,3,40,529,862,2,5,1,315,1,3,3,3,3,3,3,3,3,2,2,3,3,5,5
202589,20258902,2021,34,5,1,16,862,245,2,5,2,143,2,1,3,3,3,3,3,3,2,2,3,3,3,5,5
202590,20259002,2021,36,5,2,40,521,312,2,5,2,192,2,1,3,3,3,3,3,3,2,2,2,3,3,5,5
202593,20259302,2021,33,6,1,40,855,254,2,5,2,320,1,1,3,3,3,3,3,3,3,3,2,3,3,5,5
202596,20259602,2021,27,5,1,40,474,521,1,5,1,210,1,1,3,3,3,3,3,3,3,2,3,3,3,6,6
202596,20259603,2021,26,5,1,50,474,521,1,5,2,200,1,1,3,3,3,3,3,3,3,2,2,3,3,6,6
202601,20260102,2021,35,3,4,45,303,312,2,8,1,300,1,1,3,3,3,3,3,3,3,3,2,2,3,5,6
202606,20260601,2021,33,5,4,40,423,234,2,8,1,420,1,1,4,4,2,2,2,2,2,2,2,2,2,7,7
202606,20260602,2021,34,3,6,40,264,234,2,8,2,250,1,1,3,3,3,3,3,3,2,2,2,2,2,7,7
202635,20263501,2021,34,6,6,40,661,272,2,1,2,500,1,1,4,4,2,2,2,2,2,2,2,2,2,7,7
202635,20263502,2021,39,6,3,40,721,231,2,1,1,500,1,1,3,3,3,3,3,3,3,3,3,3,3,7,7
202638,20263804,2021,39,3,2,40,463,312,1,1,2,250,1,1,4,4,2,2,2,2,2,1,2,2,2,7,6
202671,20267102,2021,37,6,3,40,861,243,2,1,2,460,1,1,4,4,2,2,2,2,2,2,2,3,2,5,5
210019,20272403,2021,30,3,6,40,353,392,2,8,2,280,1,3,3,3,3,2,3,3,3,3,2,2,3,9,7
202724,20272404,2021,29,6,4,40,990,312,1,8,2,350,1,2,4,4,2,2,2,2,2,2,2,2,2,7,7
